id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
ed83af8b-9b45-4e42-aae9-3a1f9d04fca1,neuralsym_benchmark,predict neuralsym model,,2023-06-28 17:53:42,2977.410103082657,0.1495660083995168,0.0082509584193677,"Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz/2 device(s), TDP:150.0",Tesla V100-SXM2-32GB 4 device(s),Linux,CH/Vaud,0
89e461ff-72a8-4151-a62a-05292b4f14d5,neuralsym_benchmark,predict neuralsym model,,2023-06-29 07:52:58,3128.2190096378326,0.1573317314997044,0.0086793622999126,"Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz/2 device(s), TDP:150.0",Tesla V100-SXM2-32GB 4 device(s),Linux,CH/Vaud,0
19e3e9ef-f73d-4b07-a4cc-7e8809c42413,neuralsym_benchmark,predict neuralsym model,N/A,2023-06-30 14:36:04,19.259455919265747,0.0009831809194555032,5.423815860268229e-05,"Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz/2 device(s), TDP:150.0",Tesla V100-SXM2-32GB 4 device(s),Linux,CH/Vaud,0
