project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost,Source
Graph2SMILES_benchmark,predict Graph2SMILES model,,2023-08-19 07:15:59,167.54371666908264,0.0012654040076608,6.980727748661691e-05,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,predict
Graph2SMILES_benchmark,preprocess Graph2SMILES model,,2023-08-16 14:56:24,2042.0451850891116,0.0145035640951331,0.0008001036168721,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,preprocess
Graph2SMILES_benchmark,train Graph2SMILES model,,2023-08-16 15:30:27,229528.4698574543,4.873525512865769,0.268852908442753,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,train
