project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost,Source
Graph2SMILES_benchmark,predict Graph2SMILES model,,2023-08-14 10:28:02,3484.792422056198,0.0544729448598001,0.0030050544761357,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,predict
Graph2SMILES_benchmark,preprocess Graph2SMILES model,,2023-08-10 23:08:20,2069.08651971817,0.0250039033816741,0.0013793653339534,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,preprocess
Graph2SMILES_benchmark,train Graph2SMILES model,,2023-08-10 23:42:49,297912.1672003269,6.281828117359046,0.3465433299222291,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,train
