project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost,Source
Graph2SMILES_benchmark,predict Graph2SMILES model,,2023-08-14 08:45:04,3039.4632523059845,0.0442155791115066,0.0024391966372653,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,predict
Graph2SMILES_benchmark,preprocess Graph2SMILES model,,2023-08-10 23:08:20,2034.467358827591,0.014199664800143,0.0007833387083646,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,preprocess
Graph2SMILES_benchmark,train Graph2SMILES model,,2023-08-10 23:42:15,291768.6413357258,5.538062581511804,0.3055127603716801,"Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz/2 device(s), TDP:125.0",Tesla V100-PCIE-32GB 1 device(s),Linux,CH,0,train
